cell_type,gene,rank
Oligodendrocyte Precursor Cell,PCDH15,17
Oligodendrocyte Precursor Cell,MACF1,18
Oligodendrocyte Precursor Cell,CADM2,19
Oligodendrocyte Precursor Cell,VCAN,20
Oligodendrocyte Precursor Cell,NTM,21
Oligodendrocyte Precursor Cell,SEZ6L,22
Oligodendrocyte Precursor Cell,AGAP1,23
Oligodendrocyte Precursor Cell,ANKS1B,24
Oligodendrocyte Precursor Cell,LRRTM4,25
Oligodendrocyte Precursor Cell,DST,26
Oligodendrocyte Precursor Cell,ADARB2,27
Oligodendrocyte Precursor Cell,PDZD2,28
Oligodendrocyte Precursor Cell,GRID2,29
Oligodendrocyte Precursor Cell,DLG2,30
Oligodendrocyte Precursor Cell,ADGRL3,31
Oligodendrocyte Precursor Cell,MMD2,32
Oligodendrocyte Precursor Cell,EPN2,33
Oligodendrocyte Precursor Cell,LUC7L3,34
Oligodendrocyte Precursor Cell,PTPRZ1,35
Oligodendrocyte Precursor Cell,KCNMB2,36
Oligodendrocyte Precursor Cell,SOX6,37
Oligodendrocyte Precursor Cell,IL1RAPL1,38
Oligodendrocyte Precursor Cell,ADGRB3,39
Oligodendrocyte Precursor Cell,SOX2-OT,40
Oligodendrocyte Precursor Cell,CACNA1A,41
Oligodendrocyte Precursor Cell,NRCAM,42
Oligodendrocyte Precursor Cell,FGF12,43
Oligodendrocyte Precursor Cell,SNTG1,44
Oligodendrocyte Precursor Cell,QKI,45
Oligodendrocyte Precursor Cell,CA10,46
Oligodendrocyte Precursor Cell,FGF14,47
Oligodendrocyte Precursor Cell,OPHN1,48
Oligodendrocyte Precursor Cell,DLGAP1,49
Oligodendrocyte Precursor Cell,SLC35F1,50
Oligodendrocyte Precursor Cell,ARPP21,51
Oligodendrocyte Precursor Cell,RBM25,52
Oligodendrocyte Precursor Cell,HIP1,53
Oligodendrocyte Precursor Cell,MDGA2,54
Oligodendrocyte Precursor Cell,RORA,55
Oligodendrocyte Precursor Cell,ERBB4,56
Oligodendrocyte Precursor Cell,MMP16,57
Oligodendrocyte Precursor Cell,NPAS3,58
Oligodendrocyte Precursor Cell,PDE4B,59
Oligodendrocyte Precursor Cell,NALF1,60
Oligodendrocyte Precursor Cell,ZBTB20,61
Oligodendrocyte Precursor Cell,CTNND2,62
Oligodendrocyte Precursor Cell,FRMD4A,63
Oligodendrocyte Precursor Cell,CHST11,64
Oligodendrocyte Precursor Cell,NCAM2,65
Oligodendrocyte Precursor Cell,CSMD3,66
Oligodendrocyte Precursor Cell,ATRNL1,67
Oligodendrocyte Precursor Cell,KCND2,68
Oligodendrocyte Precursor Cell,NCAM1,69
Oligodendrocyte Precursor Cell,SCD5,70
Oligodendrocyte Precursor Cell,DGKG,71
Oligodendrocyte Precursor Cell,LINC00486,72
Oligodendrocyte Precursor Cell,LUZP2,73
Oligodendrocyte Precursor Cell,ARGLU1,74
Oligodendrocyte Precursor Cell,MT-CO2,75
Oligodendrocyte Precursor Cell,MAML2,76
Oligodendrocyte Precursor Cell,KIF13A,77
Oligodendrocyte Precursor Cell,TAOK3,78
Oligodendrocyte Precursor Cell,NOVA1,79
Oligodendrocyte Precursor Cell,ASTN2,80
Oligodendrocyte Precursor Cell,PNISR,81
Oligodendrocyte Precursor Cell,ZSWIM6,82
Oligodendrocyte Precursor Cell,NAV2,83
Oligodendrocyte Precursor Cell,PPP2R2B,84
Oligodendrocyte Precursor Cell,CLIP2,85
Oligodendrocyte Precursor Cell,PRKCA,86
Oligodendrocyte Precursor Cell,ZEB1,87
Oligodendrocyte Precursor Cell,GRIA2,88
Oligodendrocyte Precursor Cell,GNG7,89
Oligodendrocyte Precursor Cell,SHISA9,90
Oligodendrocyte Precursor Cell,XKR4,91
Oligodendrocyte Precursor Cell,MARCHF1,92
Oligodendrocyte Precursor Cell,DCC,93
Oligodendrocyte Precursor Cell,DNM3,94
Oligodendrocyte Precursor Cell,PRRC2C,95
Oligodendrocyte Precursor Cell,MEGF11,96
Oligodendrocyte Precursor Cell,LRRC7,97
Oligodendrocyte Precursor Cell,NAV1,98
Oligodendrocyte Precursor Cell,SGIP1,99
Oligodendrocyte Precursor Cell,MAGI2,100
