cell_type,gene,rank
Microglia Macrophage or T Cell,PRPF38B,93
Microglia Macrophage or T Cell,ETV6,94
Microglia Macrophage or T Cell,RERE,95
Microglia Macrophage or T Cell,WWOX,96
Microglia Macrophage or T Cell,DIAPH2,97
Microglia Macrophage or T Cell,AKAP13,98
Microglia Macrophage or T Cell,BMP2K,99
Microglia Macrophage or T Cell,CSF1R,100
Mural Cell,MALAT1,1
Mural Cell,PDE4D,2
Mural Cell,PRKG1,3
Mural Cell,LPP,4
Mural Cell,MYH11,5
Mural Cell,CALD1,6
Mural Cell,NEAT1,7
Mural Cell,CACNA1C,8
Mural Cell,DMD,9
Mural Cell,ACTA2,10
Mural Cell,TAGLN,11
Mural Cell,CARMN,12
Mural Cell,TALAM1,13
Mural Cell,COL4A1,14
Mural Cell,SORBS1,15
Mural Cell,DLC1,16
Mural Cell,SORBS2,17
Mural Cell,RBPMS,18
Mural Cell,LTBP1,19
Mural Cell,DLG2,20
Mural Cell,ZFHX3,21
Mural Cell,RORA,22
Mural Cell,EBF1,23
Mural Cell,PDE3A,24
Mural Cell,DSTN,25
Mural Cell,RGS6,26
Mural Cell,TPM1,27
Mural Cell,MACF1,28
Mural Cell,TPM2,29
Mural Cell,SYNPO2,30
Mural Cell,COL4A2,31
Mural Cell,PTPRG,32
Mural Cell,CRIM1,33
Mural Cell,MYL9,34
Mural Cell,EXT1,35
Mural Cell,SLC6A1,36
Mural Cell,SLIT3,37
Mural Cell,KCNMA1,38
Mural Cell,FTX,39
Mural Cell,SOX5,40
Mural Cell,IGFBP7,41
Mural Cell,SGIP1,42
Mural Cell,FN1,43
Mural Cell,MBNL1,44
Mural Cell,PDE1C,45
Mural Cell,NAV2,46
Mural Cell,ZBTB20,47
Mural Cell,ATP1A2,48
Mural Cell,WWOX,49
Mural Cell,ACTB,50
Mural Cell,ADAMTS9-AS2,51
Mural Cell,SPARCL1,52
Mural Cell,PPP1R12B,53
Mural Cell,UTRN,54
Mural Cell,EEF1A1,55
Mural Cell,LAMA2,56
Mural Cell,RYR2,57
Mural Cell,PDZRN4,58
Mural Cell,C1QTNF7-AS1,59
Mural Cell,IGF1R,60
Mural Cell,PDLIM5,61
Mural Cell,VIM,62
Mural Cell,RCAN2,63
Mural Cell,AKAP6,64
Mural Cell,AOPEP,65
Mural Cell,ETV6,66
Mural Cell,IMMP2L,67
Mural Cell,FRY,68
Mural Cell,SVIL,69
Mural Cell,FOXP1,70
Mural Cell,RBMS3,71
Mural Cell,FLNA,72
Mural Cell,ARHGAP10,73
Mural Cell,SDK1,74
Mural Cell,DST,75
Mural Cell,ESYT2,76
Mural Cell,XIST,77
Mural Cell,ITGA1,78
Mural Cell,LMOD1,79
Mural Cell,PRUNE2,80
Mural Cell,EPS8,81
Mural Cell,TNS1,82
Mural Cell,UBE2E2,83
Mural Cell,NR2F2-AS1,84
Mural Cell,UNC13C,85
Mural Cell,ROR1,86
Mural Cell,MIR99AHG,87
Mural Cell,COL8A1,88
Mural Cell,TRIO,89
Mural Cell,PTH1R,90
Mural Cell,HPSE2,91
Mural Cell,AKT3,92
Mural Cell,NFIA,93
Mural Cell,SLC20A2,94
Mural Cell,APBB2,95
Mural Cell,GPC5,96
Mural Cell,MT-CO1,97
Mural Cell,ENAH,98
Mural Cell,SETBP1,99
Mural Cell,INPP4B,100
Neuron,MALAT1,1
Neuron,RBFOX1,2
Neuron,KCNIP4,3
Neuron,SNHG14,4
Neuron,NRXN3,5
Neuron,CNTNAP2,6
Neuron,CADM2,7
Neuron,ROBO2,8
Neuron,DPP10,9
Neuron,ERBB4,10
Neuron,DLGAP1,11
Neuron,CSMD1,12
Neuron,DLG2,13
Neuron,ADARB2,14
