id	category	name
uuid:ae33bf0f-f743-5a10-8a82-59d4f834bed8	biolink:Gene	NTRK2
uuid:9b712971-e9c7-5a30-b721-2fda55021109	biolink:Gene	WWOX
uuid:0bf8e144-e33c-56cc-a6c0-f4501826f240	biolink:Gene	TNIK
uuid:cc66a1e2-de10-54a1-a660-79c42b15748a	biolink:Gene	TENM2
uuid:63b78e3c-8bb2-5452-9998-aedfaf982a59	biolink:Gene	TNRC6A
uuid:f655d016-cb18-5fc3-a3bb-9bf49a1b4b3c	biolink:Gene	ADGRL3
uuid:0f9c6f2e-68ab-55be-8aa6-3d08b51604c2	biolink:Gene	ZSWIM6
uuid:8fbeec7c-3f2c-5c38-b265-f81b8294be26	biolink:Gene	LINC00486
uuid:ff7a90e8-f449-5323-ba54-8b1926b799d1	biolink:Gene	MT-CO2
uuid:da38bf89-9119-5534-a232-fe975515038a	biolink:Gene	CACNB2
uuid:bd00b062-e9e3-5a3a-8e51-5f5e1fa87183	biolink:Gene	NFIA
uuid:b66a4173-4669-5cb9-a5be-6f956fac361a	biolink:Gene	CADM1
uuid:c0134f2b-3363-5e46-8cf3-89f9d91afb80	biolink:Gene	TRPM3
uuid:7d3cd1c6-d715-5587-90f5-5b955ef1e336	biolink:Gene	SLC4A4
uuid:785200b7-de34-5450-898f-d81277987db1	biolink:Gene	SGIP1
uuid:4570aa51-e9b0-58a3-8d2b-ea67d5675512	biolink:Gene	NKAIN3
uuid:d5eada63-c446-5bf4-b81d-057c9b819e9a	biolink:Gene	ARGLU1
uuid:80fc2553-43d1-5851-a7a4-6836195b9005	biolink:Gene	GRID2
uuid:c2555a9f-3b2c-595c-91ce-dbb3a3352f81	biolink:Gene	MT-ATP6
uuid:fed43801-e9a1-52d4-831b-25eca987bc64	biolink:Gene	LINC03051
uuid:6e0a582c-760b-53ad-98b5-70bfa7a22b70	biolink:Gene	MAPK10
uuid:44067645-a255-5398-90b9-61023db63715	biolink:Gene	PNISR
uuid:0a10715d-bcf4-5aad-97db-4d9ef3fd563b	biolink:Gene	NEBL
uuid:e7de0bd3-2ad4-57de-bee1-e24a39d4baad	biolink:Gene	FMN2
uuid:0aea6969-529d-574c-80e2-0283b57ea4be	biolink:Gene	GFAP
uuid:88bfe00c-ef2e-5d2a-a3c1-88be6b48bb65	biolink:Gene	HPSE2
uuid:042b32fa-dbc0-5ba5-982c-faa77ae21c43	biolink:Gene	AHCYL2
uuid:f98514a2-26ab-5811-b4a6-66d42c7540f2	biolink:Gene	RBM25
uuid:278fcaed-1f24-587c-b2dc-37fd67a959d1	biolink:Gene	SAMD4A
uuid:e21e465b-81d9-5462-bf9e-bb0b9a16702a	biolink:Gene	BTBD9
uuid:353c2c38-0640-599a-962f-cf783e6a2035	biolink:Gene	DOCK4
uuid:1598386c-a87d-58ff-9c28-272b11075c52	biolink:Gene	CDH20
uuid:2e28c35d-b377-5dc4-8519-f16403c30f40	biolink:Gene	NAV3
uuid:6353a6b7-57ae-5b05-9d15-a547c32e268b	biolink:Gene	DLG2
uuid:e3b91f5e-d7c9-5613-97b9-03a41031ec7d	biolink:Gene	FMNL2
