id	category	name	description	provided_by
uuid:c4785b92-affd-544c-8ebd-8ac25f1a2a0e	biolink:AnatomicalEntity	Endothelial in Superior Frontal Gyrus / Rostromedial Prefrontal Cortex	Endothelial in Superior Frontal Gyrus / Rostromedial Prefrontal Cortex	KIBR; Stanford University
uuid:6577e90c-d5f5-578d-8dc9-d719798c5c03	biolink:AnatomicalEntity	Endothelial in Superior Parietal Lobule	Endothelial in Superior Parietal Lobule	KIBR; Stanford University
uuid:6e48b1d2-076b-50bb-998e-b37bf9b756c8	biolink:AnatomicalEntity	Endothelial in Superior Temporal Gyrus	Endothelial in Superior Temporal Gyrus	KIBR; Stanford University
uuid:e8a1e726-1f20-5026-94db-8976a32ed7b6	biolink:AnatomicalEntity	Endothelial in Supramarginal Gyrus	Endothelial in Supramarginal Gyrus	KIBR; Stanford University
uuid:51d84e97-380f-5d5a-b8d4-22a96be79a7c	biolink:AnatomicalEntity	Endothelial in Thalamus	Endothelial in Thalamus	KIBR; Stanford University
uuid:617224c4-cf19-5f4a-8ebf-785190142cdc	biolink:AnatomicalEntity	Endothelial in Watershed Area: Anterior Cerebral Artery - Middle Cerebral Artery border zone	Endothelial in Watershed Area: Anterior Cerebral Artery - Middle Cerebral Artery border zone	KIBR; Stanford University
uuid:e806eaec-d019-5301-8250-e132c41ce66f	biolink:AnatomicalEntity	Endothelial in Watershed Area: Middle Cerebral Artery - Posterior Cerebral Artery border zone	Endothelial in Watershed Area: Middle Cerebral Artery - Posterior Cerebral Artery border zone	KIBR; Stanford University
uuid:0e39e8e1-adc9-54b6-baa8-b78239e05224	biolink:AnatomicalEntity	Endothelial in White Matter Watershed Area supplied by the Anterior Cerebral Artery	Endothelial in White Matter Watershed Area supplied by the Anterior Cerebral Artery	KIBR; Stanford University
uuid:ac95c30d-ae8a-5b15-ada9-386ee320181e	biolink:AnatomicalEntity	Ependymal Epithelial Cell in Anterior Cerebral Artery	Ependymal Epithelial Cell in Anterior Cerebral Artery	KIBR; Stanford University
uuid:e6a5e12b-05c6-5215-a6b7-4e7dbc891135	biolink:AnatomicalEntity	Ependymal Epithelial Cell in Anterior Cingulate Cortex	Ependymal Epithelial Cell in Anterior Cingulate Cortex	KIBR; Stanford University
uuid:a29e5d6c-8931-58d4-83a3-34b58d6a519c	biolink:AnatomicalEntity	Ependymal Epithelial Cell in Basilar Artery / Circle of Willis	Ependymal Epithelial Cell in Basilar Artery / Circle of Willis	KIBR; Stanford University
uuid:d820e3de-f55e-5c8c-9375-4a7e6df928a2	biolink:AnatomicalEntity	Ependymal Epithelial Cell in Caudate and Putamen	Ependymal Epithelial Cell in Caudate and Putamen	KIBR; Stanford University
uuid:e7ea556c-466a-53d1-9f3c-f3c65e911849	biolink:AnatomicalEntity	Ependymal Epithelial Cell in Cingulum Bundle	Ependymal Epithelial Cell in Cingulum Bundle	KIBR; Stanford University
uuid:b8974f0c-e29e-5cbb-8afb-048f6e4004d0	biolink:AnatomicalEntity	Ependymal Epithelial Cell in Corpus Callosum	Ependymal Epithelial Cell in Corpus Callosum	KIBR; Stanford University
uuid:e70e262e-5503-588d-a440-8686d082c40c	biolink:AnatomicalEntity	Ependymal Epithelial Cell in Cuneus	Ependymal Epithelial Cell in Cuneus	KIBR; Stanford University
uuid:ce998211-ca27-5445-b527-385727ebe4d7	biolink:AnatomicalEntity	Ependymal Epithelial Cell in Entorhinal Cortex	Ependymal Epithelial Cell in Entorhinal Cortex	KIBR; Stanford University
uuid:ee407ad4-c706-5bbf-93ff-2af7dfd5addf	biolink:AnatomicalEntity	Ependymal Epithelial Cell in Fornix	Ependymal Epithelial Cell in Fornix	KIBR; Stanford University
uuid:a2c4bd72-432d-5164-a83b-953e22dd662c	biolink:AnatomicalEntity	Ependymal Epithelial Cell in Hippocampus and Entorhinal Cortex	Ependymal Epithelial Cell in Hippocampus and Entorhinal Cortex	KIBR; Stanford University
uuid:047f5692-cd25-5c7b-be73-137a7396a4c2	biolink:AnatomicalEntity	Ependymal Epithelial Cell in Inferior Parietal Lobule / Supramarginal Gyrus	Ependymal Epithelial Cell in Inferior Parietal Lobule / Supramarginal Gyrus	KIBR; Stanford University
uuid:541b1345-42fe-50b5-8911-7e70dbb931ea	biolink:AnatomicalEntity	Ependymal Epithelial Cell in Inferior Temporal Gyrus	Ependymal Epithelial Cell in Inferior Temporal Gyrus	KIBR; Stanford University
uuid:cdf5d2d7-bd9b-5f88-bdad-dedc6c725f1f	biolink:AnatomicalEntity	Ependymal Epithelial Cell in Leptomeninges	Ependymal Epithelial Cell in Leptomeninges	KIBR; Stanford University
uuid:2d400d12-fbaf-5490-84de-15663c460d6f	biolink:AnatomicalEntity	Ependymal Epithelial Cell in Lingual Gyrus	Ependymal Epithelial Cell in Lingual Gyrus	KIBR; Stanford University
uuid:2bf9bef0-1a43-5554-a81b-e8f4ae35307d	biolink:AnatomicalEntity	Ependymal Epithelial Cell in Midbrain	Ependymal Epithelial Cell in Midbrain	KIBR; Stanford University
uuid:885f6726-3e0a-546b-a32d-82a46d467b92	biolink:AnatomicalEntity	Ependymal Epithelial Cell in Middle Cerebral Artery	Ependymal Epithelial Cell in Middle Cerebral Artery	KIBR; Stanford University
uuid:ad24ae89-09bd-5710-b350-d5fa533440ec	biolink:AnatomicalEntity	Ependymal Epithelial Cell in Olfactory Bulb	Ependymal Epithelial Cell in Olfactory Bulb	KIBR; Stanford University
uuid:f227de5e-4f22-5124-b581-493f59ee3995	biolink:AnatomicalEntity	Ependymal Epithelial Cell in Parahippocampal Gyrus	Ependymal Epithelial Cell in Parahippocampal Gyrus	KIBR; Stanford University
uuid:3d720d7e-3d74-560d-a2f0-ba3fd9ebf0c0	biolink:AnatomicalEntity	Ependymal Epithelial Cell in Periventricular White Matter	Ependymal Epithelial Cell in Periventricular White Matter	KIBR; Stanford University
uuid:921e7a43-2519-5877-bc94-51d0bc8677b1	biolink:AnatomicalEntity	Ependymal Epithelial Cell in Pons	Ependymal Epithelial Cell in Pons	KIBR; Stanford University
uuid:0a94399e-4cd7-5a39-b522-3cedda5e678a	biolink:AnatomicalEntity	Ependymal Epithelial Cell in Posterior Cingulate Cortex	Ependymal Epithelial Cell in Posterior Cingulate Cortex	KIBR; Stanford University
uuid:333cabdc-a310-5bcc-99e8-8221becfd067	biolink:AnatomicalEntity	Ependymal Epithelial Cell in Spinal Cord	Ependymal Epithelial Cell in Spinal Cord	KIBR; Stanford University
uuid:5fe8691a-7878-5665-8da1-06899068a91f	biolink:AnatomicalEntity	Ependymal Epithelial Cell in Superior Frontal Gyrus / Rostromedial Prefrontal Cortex	Ependymal Epithelial Cell in Superior Frontal Gyrus / Rostromedial Prefrontal Cortex	KIBR; Stanford University
uuid:14e912b5-9a2a-5557-b758-83ff4693ae59	biolink:AnatomicalEntity	Ependymal Epithelial Cell in Superior Parietal Lobule	Ependymal Epithelial Cell in Superior Parietal Lobule	KIBR; Stanford University
uuid:609ce38f-b5ee-532d-9114-8c6477b1658e	biolink:AnatomicalEntity	Ependymal Epithelial Cell in Supramarginal Gyrus	Ependymal Epithelial Cell in Supramarginal Gyrus	KIBR; Stanford University
uuid:41a411dd-637a-56e0-ad43-b45e80721962	biolink:AnatomicalEntity	Ependymal Epithelial Cell in Thalamus	Ependymal Epithelial Cell in Thalamus	KIBR; Stanford University
